2026-01-10 16:11:10,303 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/predictions_summary.csv
2026-01-10 16:14:10,163 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet'], intervals=OFF
2026-01-10 16:14:10,591 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=EUR_USD/forecast_vs_actual_no_interval.png
2026-01-10 16:14:10,954 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=GBP_USD/forecast_vs_actual_no_interval.png
2026-01-10 16:14:11,320 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=USD_JPY/forecast_vs_actual_no_interval.png
2026-01-10 16:14:11,322 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/predictions_summary.csv
2026-01-14 15:40:00,694 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-14, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet'], intervals=OFF
2026-01-14 15:40:01,090 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-14/pair=EUR_USD/forecast_vs_actual_no_interval.png
2026-01-14 15:40:01,457 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-14/pair=GBP_USD/forecast_vs_actual_no_interval.png
2026-01-14 15:40:02,025 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-14/pair=USD_JPY/forecast_vs_actual_no_interval.png
2026-01-14 15:40:02,032 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-14/predictions_summary.csv
