2026-01-10 16:13:38,765 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-10 16:13:45,008 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-10
2026-01-10 16:13:46,209 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-10 16:13:55,191 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-10, records=14976
2026-01-14 15:31:44,795 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-14 15:31:50,917 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-14
2026-01-14 15:31:52,125 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:32:00,531 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-14, records=14976
2026-01-14 15:33:10,789 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-14 15:33:17,425 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-14
2026-01-14 15:33:18,542 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:33:26,752 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-14, records=14976
2026-01-14 15:34:22,825 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-14 15:34:29,179 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-14
2026-01-14 15:34:30,437 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:34:38,944 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-14, records=14976
2026-01-14 15:39:32,273 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-14 15:39:38,565 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-14
2026-01-14 15:39:39,775 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:39:46,908 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-14, records=14976
2026-01-14T22:47:21+0000 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-14T22:47:28+0000 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-14
2026-01-14T22:47:29+0000 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-14T22:47:37+0000 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-14, records=14976
2026-01-14T22:48:48+0000 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-14T22:48:54+0000 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-14
2026-01-14T22:48:56+0000 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-14T22:49:04+0000 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-14, records=14976
2026-01-14T22:50:50+0000 | INFO | spark.preprocess.forex_daily | Reading raw from: data/raw/alpha_vantage/market=forex/frequency=daily
2026-01-14T22:50:56+0000 | INFO | spark.preprocess.forex_daily | Processing ingest_date: 2026-01-14
2026-01-14T22:50:57+0000 | INFO | spark.preprocess.forex_daily | Writing features to: data/features/forex_daily/frequency=daily (partitionBy pair, ingest_date)
2026-01-14T22:51:05+0000 | INFO | spark.preprocess.forex_daily | Preprocessing done. ingest_date=2026-01-14, records=14976
