2026-01-10 14:49:19,190 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-10, min_sleep=1.1
2026-01-10 14:49:35,483 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-10 14:49:35,483 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-10 14:49:35,484 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-10 15:04:50,462 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-10, min_sleep=1.1
2026-01-10 15:05:07,504 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-10 15:05:07,504 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-10 15:05:07,505 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-10 15:34:07,226 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-10, min_sleep=1.1
2026-01-10 15:34:23,153 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-10 15:34:23,153 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-10 15:34:23,153 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-10 15:56:23,190 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-10, min_sleep=1.1
